Partei: Nr.,Partei: Kurzbezeichnung,Partei: Name,These: Nr.,These: Titel,These: These,Position: Position,Position: Begründung
27,BÜNDNIS DEUTSCHLAND,BÜNDNIS DEUTSCHLAND,28,Urheberschutz,"Urheberrechtlich geschützte Werke (z.B. Fotos, Musik, Literatur) sollen in der EU für nicht-kommerzielle Zwecke kostenlos verwendet werden dürfen.",neutral,"Grundsätzlich ist Eigentum, auch das geistige, substanzieller Bestandteil einer freien Gesellschaft und verdient unseren Schutz. Andererseits soll das Urheberrecht im nicht-kommerziellen Bereich die kulturelle und akademische Fortentwicklung nicht hemmen. Hier gilt es einen Kompromiss zu finden, der das Recht des Urhebers auf eine angemessene Vergütung mit einem einfachen Zugang zu Kunst und akademischer Literatur zu nicht-kommerziellen Zwecken verbindet."
28,BSW,Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit,28,Urheberschutz,"Urheberrechtlich geschützte Werke (z.B. Fotos, Musik, Literatur) sollen in der EU für nicht-kommerzielle Zwecke kostenlos verwendet werden dürfen.",neutral,"Die kostenlose Verwendung von geschützten Werken zu nicht-kommerziellen Zwecken erfordert klare Spielregeln. Sollten Werke etwa von vielen Menschen kostenlos genutzt werden, braucht es dennoch angemessene, kollektive Vergütungs- und Sicherungssysteme für Urheberinnen und Urheber."
29,DAVA,Demokratische Allianz für Vielfalt und Aufbruch,28,Urheberschutz,"Urheberrechtlich geschützte Werke (z.B. Fotos, Musik, Literatur) sollen in der EU für nicht-kommerzielle Zwecke kostenlos verwendet werden dürfen.",stimme nicht zu,"Das Recht auf geistiges Eigentum ist ein wesentlicher Bestandteil des Urheberrechts und schützt die kreative Arbeit von Künstlern und Schöpfern. Eine kostenlose Nutzung urheberrechtlich geschützter Werke für nicht-kommerzielle Zwecke würde die Rechte der Urheber untergraben und ihre Anreize zur Schaffung neuer Werke verringern. Eine angemessene Vergütung ist wichtig, um die künstlerische Kreativität zu fördern und sicherzustellen, dass Urheber fair für ihre Arbeit entschädigt werden."
30,KLIMALISTE,Klimaliste Deutschland,28,Urheberschutz,"Urheberrechtlich geschützte Werke (z.B. Fotos, Musik, Literatur) sollen in der EU für nicht-kommerzielle Zwecke kostenlos verwendet werden dürfen.",neutral,"Kandidatenmeinung: Das Urheberrecht ist grundsätzlich zu schützen und die Möglichkeit für Kunstschaffende, von ihrer Kunst zu leben, sollte gewahrt werden. Gleichzeitig sollte die nicht-kommerzielle Nutzung vor allem im Bildungskontext möglichst leicht und legal sein. Die private Verwendung von Ausschnitten, die den Erwerb des Gesamtwerks nicht ersetzen, sollte kostenfrei möglich sein. Kopierschutzmechanismen sollten so überarbeitet werden, dass sie zu keinem unnötigen Elektroschrott führen."
31,LETZTE GENERATION,Parlament aufmischen – Stimme der Letzten Generation,28,Urheberschutz,"Urheberrechtlich geschützte Werke (z.B. Fotos, Musik, Literatur) sollen in der EU für nicht-kommerzielle Zwecke kostenlos verwendet werden dürfen.",neutral,
32,PDV,Partei der Vernunft,28,Urheberschutz,"Urheberrechtlich geschützte Werke (z.B. Fotos, Musik, Literatur) sollen in der EU für nicht-kommerzielle Zwecke kostenlos verwendet werden dürfen.",stimme nicht zu,"Diese zentrale Regelung der EU würde den Urheber in seinem Recht beschneiden, die Verwertung seiner Arbeit selbst vertraglich festzulegen. Erzwungene Freigabe von Inhalten ist genauso eine Freiheitseinschränkung wie erzwungenes Copyright. Die Formulierung ""nicht -kommerziell"" ist zudem nicht eindeutig genug."
33,PdF,Partei des Fortschritts,28,Urheberschutz,"Urheberrechtlich geschützte Werke (z.B. Fotos, Musik, Literatur) sollen in der EU für nicht-kommerzielle Zwecke kostenlos verwendet werden dürfen.",neutral,"Wir unterstützen ein Urheberrecht, dass die Nutzung geschützter Werke für Memes und ähnliches zulässt. Eine Ausweitung auf alle Nicht-Kommerziellen Zwecke erschwert es aber den Urhebern (insbesondere den Künstlern ohne große Unternehmen im Rücken) erheblich ihre Werke zu monetarisieren. Besser wäre ein System, welches Urheber durch Nutzung bezahlt, während die Nutzer Pauschalen für alle Werke zahlen und so einen Anreiz haben ihre Künstler kostenlos und legal zu unterstützen."
34,V-Partei³,"V-Partei³ - Partei für Veränderung, Vegetarier und Veganer",28,Urheberschutz,"Urheberrechtlich geschützte Werke (z.B. Fotos, Musik, Literatur) sollen in der EU für nicht-kommerzielle Zwecke kostenlos verwendet werden dürfen.",stimme nicht zu,"Das Urheberrecht schützt Besitzer:innen und Urheber:innen von geistigem Eigentum vor ungewollten Einsatz/Missbrauch, gewährleistet eine angemessene Vergütung und fördert Kreativität und Innovation. Private Nutzungen, zum Beispiel auf Feiern, sind davon nicht betroffen."
1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,29,Abbau der Sanktionen gegen Russland,Die Sanktionen der EU gegen Russland sollen abgebaut werden.,stimme nicht zu,"Ein Russland, das diesen verbrecherischen Angriffskrieg gegen die Ukraine führt, kann kein Partner sein. Die EU-Sanktionen müssen daher fortgeführt werden, bis Russland den Angriffskrieg aufgibt."
2,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,29,Abbau der Sanktionen gegen Russland,Die Sanktionen der EU gegen Russland sollen abgebaut werden.,stimme nicht zu,"Mit umfassenden Sanktionen haben die EU und ihre internationalen Partner der russischen Regierung deutlich gemacht, dass die völkerrechtswidrige Aggression gegen die Ukraine hohe politische und wirtschaftliche Kosten mit sich bringt. Die Sanktionen sollen die Möglichkeiten zur Aggression eindämmen. Um die russische Kriegsfähigkeit weiter zu schwächen, sollten die Sanktionen weiter verschärft werden. Wir wollen nicht, dass russische Raketen mit Chips “made in Europe” Wohnblöcke in Kiew zerstören."
3,SPD,Sozialdemokratische Partei Deutschlands,29,Abbau der Sanktionen gegen Russland,Die Sanktionen der EU gegen Russland sollen abgebaut werden.,stimme nicht zu,"Mit den härtesten Sanktionen in ihrer Geschichte hat die EU geschlossen auf Putins völkerrechtswidrigen Angriffskrieg reagiert – ein Angriff auf unsere Friedensordnung in Europa, welche nach dem Zweiten Weltkrieg mühsam errichtet wurde. Ein Abbau der Sanktionen ist erst denkbar, wenn Russland die militärischen Handlungen einstellt, seine Streitkräfte bedingungslos abzieht und die territoriale Unversehrtheit, die Souveränität und die Unabhängigkeit der Ukraine uneingeschränkt achtet."
4,AfD,Alternative für Deutschland,29,Abbau der Sanktionen gegen Russland,Die Sanktionen der EU gegen Russland sollen abgebaut werden.,stimme zu,Die AfD sieht Wirtschaftssanktionen allgemein kritisch. Die von der EU beschlossenen Sanktionen gegen Russland sind nicht zielführend und schädigen in erster Linie die deutsche Wirtschaft. Die AfD setzt sich für deren Abschaffung und eine Normalisierung der Beziehungen mit Russland ein.
5,DIE LINKE,DIE LINKE,29,Abbau der Sanktionen gegen Russland,Die Sanktionen der EU gegen Russland sollen abgebaut werden.,stimme nicht zu,"Russland ist eindeutig der Aggressor im Krieg gegen die Ukraine. Die Aufhebung der Sanktionen kann nur Teil eines Friedensprozesses sein, zu dem sich auch die Russische Föderation unmissverständlich bekennen und mit einem Ende weiterer Angriffe auf ukrainisches Territorium ein ernstes Zeichen setzen muss."
6,FDP,Freie Demokratische Partei,29,Abbau der Sanktionen gegen Russland,Die Sanktionen der EU gegen Russland sollen abgebaut werden.,stimme nicht zu,Russland führt einen völkerrechtswidrigen Angriffskrieg gegen die Ukraine. Neben der Ausweitung der Wirtschaftssanktionen fordern wir weitere personenbezogene Sanktionen gegen Mitglieder der russischen Führung und befürworten den Visaentzug und die Ausweisung von Familienmitgliedern von Personen auf der Sanktionsliste.
7,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",29,Abbau der Sanktionen gegen Russland,Die Sanktionen der EU gegen Russland sollen abgebaut werden.,stimme nicht zu,Wobei … Eigentlich haben die Sanktionen unserer Wirtschaft schon genug geschadet.
8,FREIE WÄHLER,FREIE WÄHLER,29,Abbau der Sanktionen gegen Russland,Die Sanktionen der EU gegen Russland sollen abgebaut werden.,stimme nicht zu,"Die Sanktionen gegen Russland müssen umgesetzt und regelmäßig evaluiert werden. Sanktionsumgehungen müssen konsequent geahndet werden. Wir treten dafür ein, politische und gesellschaftliche Veränderungen in Russland seitens der EU deutlich intensiver und intelligenter zu fördern. Russland ist kulturell und geografisch ein Teil Europas und seine Menschen müssen mittelfristig eine Perspektive auf der Basis unserer Werte bekommen."
9,Tierschutzpartei,PARTEI MENSCH UMWELT TIERSCHUTZ,29,Abbau der Sanktionen gegen Russland,Die Sanktionen der EU gegen Russland sollen abgebaut werden.,stimme nicht zu,"Ein Abbau der EU-Sanktionen gegen Russland sollte sorgfältig erwogen und an klare Bedingungen geknüpft sein, die im Einklang mit den Prinzipien der internationalen Rechtsordnung und den Zielen der europäischen Außenpolitik stehen."
10,ÖDP,Ökologisch-Demokratische Partei - Die Naturschutzpartei,29,Abbau der Sanktionen gegen Russland,Die Sanktionen der EU gegen Russland sollen abgebaut werden.,stimme nicht zu,"Die Sanktionen gegen Russland müssen vollumfänglich umgesetzt und die Lieferung fossiler Energien wirksam unterbunden werden, beides ist derzeit nicht der Fall. Alle (indirekten) wirtschaftlichen Beziehungen sind abzubrechen. Russische Vermögen in der EU sind für den Wiederaufbau der Ukraine heranzuziehen. EU-Staaten, die sich nicht daran halten, müssen mit Sanktionen rechnen. Sollte es zu Friedensverhandlungen kommen, können Teile der Sanktionen aufgehoben werden."
11,FAMILIE,Familien-Partei Deutschlands,29,Abbau der Sanktionen gegen Russland,Die Sanktionen der EU gegen Russland sollen abgebaut werden.,neutral,Wenn es der Diplomatie dienlich ist ja. Allerdings müssen auch diplomatische Vorstöße erfolgen um diesen verbrecherischen Krieg schnellstens zu beenden.
12,Volt,Volt Deutschland,29,Abbau der Sanktionen gegen Russland,Die Sanktionen der EU gegen Russland sollen abgebaut werden.,stimme nicht zu,"Volt ist überzeugt, dass, solange der Krieg von Russland gegen die Ukraine andauert, Strafmaßnahmen beibehalten werden müssen. Das Geld, das durch diese Strafmaßnahmen von Russland erhalten wird, soll dafür genutzt werden, der Ukraine zu helfen, sie auf die EU-Mitgliedschaft vorzubereiten und sie beim Wiederaufbau des Landes zu unterstützen."
13,PIRATEN,Piratenpartei Deutschland,29,Abbau der Sanktionen gegen Russland,Die Sanktionen der EU gegen Russland sollen abgebaut werden.,stimme nicht zu,"Die Ukraine ist in der Verteidigung gegen Russland mit allen Mitteln zu unterstützen. Sanktionen sind bei effektivem Einsatz und Umsetzung ein wichtiges Instrument. Wir richten unsere Außenpolitik auf gleichgesinnte Demokratien und Bündnisse aus, wobei die Mitgliedschaft in der EU im Vordergrund steht. Die Finanzierung autoritärer Regime ist durch gegenseitigen Handel zu verringern und der Handel zu bekämpfen, der mit Menschenrechtsverletzungen, Zwangs- und Kinderarbeit verbunden ist."
14,MERA25,MERA25 - Gemeinsam für Europäische Unabhängigkeit,29,Abbau der Sanktionen gegen Russland,Die Sanktionen der EU gegen Russland sollen abgebaut werden.,neutral,"Individuelle Sanktionen gegen russische Politiker:innen und Beamte, die den Krieg gegen die Ukraine vorantreiben, sowie Oligarch:innen, die an der Kriegswirtschaft beteiligt sind bzw. finanziell von ihr profitieren, und Exportsperren für Rüstungs- und Dual-Use-Güter sollten erhalten bleiben. Generelle Sanktionen, insbesondere im Energiesektor, schaden sowohl der russischen als auch der EU-Zivilbevölkerung und bereichern nur die Oligarch:innen auf beiden Seiten; sie gehören abgeschafft."
15,HEIMAT,Die Heimat,29,Abbau der Sanktionen gegen Russland,Die Sanktionen der EU gegen Russland sollen abgebaut werden.,stimme zu,"Zum einen haben die bisherigen Sanktionen überhaupt nichts bewirkt, zum anderen haben sie der europäischen, insbesondere der deutschen Wirtschaft schwer geschadet."
16,TIERSCHUTZ hier!,Aktion Partei für Tierschutz,29,Abbau der Sanktionen gegen Russland,Die Sanktionen der EU gegen Russland sollen abgebaut werden.,stimme zu,Wir stehen als Partei TIERSCHUTZ hier! für Frieden mit Russland und in Kontakt mit unseren russischen Freunden und dem Generalkonsulat der Russischen Föderation in Bonn. Der Tierschutz in Russland und die dort engagierten Helfer in den Tierheimen und für die unzähligen Straßenhunde brauchen unsere Hilfe und keine Sanktionen.
17,Partei für schulmedizinische Verjüngungsforschung,Partei für schulmedizinische Verjüngungsforschung,29,Abbau der Sanktionen gegen Russland,Die Sanktionen der EU gegen Russland sollen abgebaut werden.,neutral,"Die Partei für schulmedizinische Verjüngungsforschung ist eine Ein-Themen-Partei, deren einziges Ziel es ist, die Entwicklung wirksamer Medizin gegen Alterskrankheiten durch wesentlich mehr staatliche Investitionen zu beschleunigen. Mehr als 100.000 Menschen sterben täglich an den Folgen des Alterns. Mit zukünftiger Medizin werden Menschen durch Verjüngung wahrscheinlich nicht mehr an Alterskrankheiten oder hohem Alter sterben und tausende Jahre gesund leben können."
18,BIG,Bündnis für Innovation & Gerechtigkeit,29,Abbau der Sanktionen gegen Russland,Die Sanktionen der EU gegen Russland sollen abgebaut werden.,stimme zu,"Die EU hat ihre Sanktionen gegen Russland in der Vergangenheit im Zusammenhang mit bestimmten Ereignissen wie der Annexion der Krim und der Destabilisierung der Situation in der Ukraine verhängt. Eine Änderung dieser Sanktionen hängt daher von Fortschritten in diesen Fragen sowie von anderen Faktoren ab, wie dem Respektieren von Menschenrechten und dem Völkerrecht seitens Russlands."
19,Bündnis C,Bündnis C - Christen für Deutschland,29,Abbau der Sanktionen gegen Russland,Die Sanktionen der EU gegen Russland sollen abgebaut werden.,stimme nicht zu,"Auch wenn die Sanktionen nicht Russland sondern Europa wirtschaftlich geschwächt haben, wäre eine Rücknahme das falsche Signal an Russland."
20,PdH,Partei der Humanisten,29,Abbau der Sanktionen gegen Russland,Die Sanktionen der EU gegen Russland sollen abgebaut werden.,stimme nicht zu,"Der völkerrechtswidrige Angriff Russlands auf die Ukraine ist weiterhin im Gange. Russland muss nachhaltig an die Unverletzlichkeit nationaler Souveränität erinnert und mit allen vertretbaren Mitteln dazu gebracht werden, diese zu akzeptieren. Die EU sollte den Druck gegenüber Russland mittels Sanktionen weiterhin aufrechterhalten."
21,MENSCHLICHE WELT,Menschliche Welt - für das Wohl und Glücklichsein aller,29,Abbau der Sanktionen gegen Russland,Die Sanktionen der EU gegen Russland sollen abgebaut werden.,stimme zu,"Die Sanktionen schaden offensichtlich der Bevölkerung der EU und tragen nicht zu einer Lösung des Konfliktes bei. Im Gegenteil. Die EU und Russland sind Nachbarn. Wirtschaftliche Zusammenarbeit, von der beide Seiten profitieren, fördert den Frieden. Der Sanktionsabbau kann Friedensverhandlungen begünstigen."
22,DKP,Deutsche Kommunistische Partei,29,Abbau der Sanktionen gegen Russland,Die Sanktionen der EU gegen Russland sollen abgebaut werden.,stimme zu,"Wirtschaftskrieg führt nicht zu Frieden. Außerdem schadet er, u.a. infolge der Energiepreise den Menschen und der Ökonomie in Deutschland. Die neue Abhängigkeit vom Fracking-Gas, u.a. aus den USA, ist ökologisch weitaus schlechter als die Lieferung von Gas durch Pipelines, die aber vermutlich von ""Freunden"" gesprengt wurden."
23,MLPD,Marxistisch-Leninistische Partei Deutschlands,29,Abbau der Sanktionen gegen Russland,Die Sanktionen der EU gegen Russland sollen abgebaut werden.,stimme zu,Die Wirtschaftssanktionen gegen Russland haben den Charakter eines internationalen Wirtschaftskrieges. Solidarität mit dem Kampf der Arbeiterklasse und der Volksmassen Russlands gegen das faschistische Putin-Regime!
24,SGP,"Sozialistische Gleichheitspartei, Vierte Internationale",29,Abbau der Sanktionen gegen Russland,Die Sanktionen der EU gegen Russland sollen abgebaut werden.,stimme zu,"Die Sanktionen gegen Russland sind Teil der aggressiven Kriegspolitik Deutschlands und der Nato, die darauf abzielt, Russland zu unterwerfen. Sie sollen die russische Wirtschaft schwächen und die europäische Wirtschaft zudem unabhängig von russischer Energie machen, um den Krieg weiter ausweiten zu können. Die SGP tritt diesem Wahnsinn eines dritten Weltkriegs entgegen und setzt der militaristischen EU der Banken und Konzerne die Vereinigten Sozialistischen Staaten von Europa entgegen."
25,ABG,Aktion Bürger für Gerechtigkeit,29,Abbau der Sanktionen gegen Russland,Die Sanktionen der EU gegen Russland sollen abgebaut werden.,stimme zu,Wir setzen uns für den sofortigen Stopp aller Sanktionen gegen Russland ein und befürworten freie Marktwirtschaft.
26,dieBasis,Basisdemokratische Partei Deutschland,29,Abbau der Sanktionen gegen Russland,Die Sanktionen der EU gegen Russland sollen abgebaut werden.,stimme zu,Die wirtschaftlichen und politischen Sanktionen treffen die russische wie die deutsche und europäische Bevölkerung. Ihre Einführung begleitete die kriegerische Eskalation im Ukrainekrieg. Ihre Rücknahme kann jetzt ein Verhandlungsangebot zu dessen Beendigung sein.
27,BÜNDNIS DEUTSCHLAND,BÜNDNIS DEUTSCHLAND,29,Abbau der Sanktionen gegen Russland,Die Sanktionen der EU gegen Russland sollen abgebaut werden.,neutral,"Die Ukraine hat gemäß Artikel 51 der UN-Charta das Recht auf Verteidigung ihrer nationalen Souveränität und territorialen Integrität im Rahmen ihrer international anerkannten Grenzen. Wenn Sanktionen einen Beitrag leisten können, die territoriale Integrität der Ukraine zu wahren, sind diese auch sinnvoll. Das wird aber nur dann der Fall sein, wenn die Sanktionen Russland mehr schaden als denjenigen, die die Sanktionen erlassen haben."
28,BSW,Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit,29,Abbau der Sanktionen gegen Russland,Die Sanktionen der EU gegen Russland sollen abgebaut werden.,stimme zu,"Die Sanktionen haben Deutschland mehr geschadet als Russland und leisten keinen Beitrag zur Beendigung des Krieges. Deutschland bezieht nun etwa aufgrund der Sanktionen und Gegenmaßnahmen ökologisch schädliches Fracking-Gas aus den USA und importiert auch weiterhin russische Rohstoffe teuer über Drittstaaten. Europa muss eigenständiger Akteur auf der Weltbühne werden, statt Spielball im Konflikt der Großmächte zu sein."
29,DAVA,Demokratische Allianz für Vielfalt und Aufbruch,29,Abbau der Sanktionen gegen Russland,Die Sanktionen der EU gegen Russland sollen abgebaut werden.,stimme zu,"Die Sanktionen der EU gegen Russland sollten abgebaut werden, um die diplomatischen Beziehungen zu verbessern und mögliche wirtschaftliche Chancen zu erschließen. Ein Abbau der Sanktionen könnte dazu beitragen, Spannungen abzubauen und den Dialog zwischen der EU und Russland zu fördern, was letztendlich zu einer positiven Entwicklung der Beziehungen beitragen könnte."
30,KLIMALISTE,Klimaliste Deutschland,29,Abbau der Sanktionen gegen Russland,Die Sanktionen der EU gegen Russland sollen abgebaut werden.,stimme nicht zu,"Kandidatenmeinung: Die Sanktionen der EU gegen Russland sollen beibehalten werden, weil sie ein geeignetes Mittel gegen den ungerechtfertigten militärischen Angriff Russlands auf die Ukraine sind. Wir setzen uns für Friedensverhandlungen und die Umsetzung von zivilen Maßnahmen zur Konfliktbearbeitung ein. Diplomatische Maßnahmen und Wirtschaftssanktionen tragen zur frühzeitigen Beendigung des Krieges bei."
31,LETZTE GENERATION,Parlament aufmischen – Stimme der Letzten Generation,29,Abbau der Sanktionen gegen Russland,Die Sanktionen der EU gegen Russland sollen abgebaut werden.,stimme nicht zu,Russland führt einen Angriffskrieg auf die Ukraine. Das muss sanktioniert werden. Allerdings sollten die Sanktionen auf ihre Wirksamkeit überprüft werden und der Kauf von russischem Öl und Gas über Drittstaaten muss aufhören.
32,PDV,Partei der Vernunft,29,Abbau der Sanktionen gegen Russland,Die Sanktionen der EU gegen Russland sollen abgebaut werden.,stimme zu,"Wir sind für offene Märkte ohne Ansehen der politischen Agenda; aus diesem Grund sind wir gegen die Fortsetzung der Sanktionen gegen Russland. „Wenn nicht Waren Grenzen überschreiten, dann werden es Soldaten tun.“ Frederic Bastiat"
33,PdF,Partei des Fortschritts,29,Abbau der Sanktionen gegen Russland,Die Sanktionen der EU gegen Russland sollen abgebaut werden.,stimme nicht zu,"Solange Russland eine Diktatur ist, die Angriffskriege führt, muss Russland auch dafür sanktioniert werden. Was wäre es für ein Zeichen, wenn wir es ungestraft lassen, wenn internationale Grenzen und Demokratien zerstört werden. In der Position des Angegriffenen würden wir uns auch eine Sanktionierung des Aggressors wünschen. Es braucht nach Meinungsumfragen eher noch eine vehementere Härte seitens der zivilisierten Welt."
34,V-Partei³,"V-Partei³ - Partei für Veränderung, Vegetarier und Veganer",29,Abbau der Sanktionen gegen Russland,Die Sanktionen der EU gegen Russland sollen abgebaut werden.,stimme nicht zu,"Im Gegenteil, die Sanktionen müssen ausgeweitet werden und es muss durchgesetzt werden, dass sie nicht mehr umgangen werden können."
1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,30,Erasmus+ Stipendium,"Das Erasmus+ Stipendium für Auslandsaufenthalte soll für Studierende, die über weniger finanzielle Mittel verfügen, höher sein.",stimme zu,"Wir setzen uns für eine finanzielle Aufstockung des „Erasmus+“-Programms ein, damit möglichst viele Studentinnen und Studenten einen Teil ihrer Ausbildung im Ausland absolvieren können. Neben dem Stipendium gibt es verschiedene Aufstockungsbeträge, unter anderem für Studentinnen und Studenten mit Mobilitätseinschränkungen oder für Studentinnen und Studenten, die Kinder mit ins Ausland nehmen. Zudem sind „Erasmus+“-Stipendien mit dem BAföG und anderen Stipendien kombinierbar."
2,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,30,Erasmus+ Stipendium,"Das Erasmus+ Stipendium für Auslandsaufenthalte soll für Studierende, die über weniger finanzielle Mittel verfügen, höher sein.",stimme zu,"Erasmus+ ist für viele die erste und oft auch persönlichste Begegnung mit der EU. Wir wollen, dass mehr Menschen diese Erfahrungen machen können – und das Programm auch für Familien zugänglich machen, denen ansonsten das Geld für Auslandsaufenthalte fehlt. Wir setzen uns deshalb für einen grundsätzlichen Ausbau der Finanzierung von Erasmus+ ein und wollen es auch für Auszubildende stärken. Dafür braucht es z.B. bessere Infos, mehr Beratung und einfachere Anträge."
3,SPD,Sozialdemokratische Partei Deutschlands,30,Erasmus+ Stipendium,"Das Erasmus+ Stipendium für Auslandsaufenthalte soll für Studierende, die über weniger finanzielle Mittel verfügen, höher sein.",stimme zu,"Lernerfahrungen im Ausland sind für alle jungen Menschen wertvoll. Wir wollen, dass diese Lernerfahrung völlig unabhängig vom finanziellen Hintergrund durch ERASMUS+ ermöglicht wird. Eine zusätzliche Förderung, die Menschen mit geringeren Chancen Zugang zu ERASMUS+ ermöglicht, soll unbürokratisch beispielsweise aus dem Europäischen Sozialfonds+ möglich sein."
4,AfD,Alternative für Deutschland,30,Erasmus+ Stipendium,"Das Erasmus+ Stipendium für Auslandsaufenthalte soll für Studierende, die über weniger finanzielle Mittel verfügen, höher sein.",neutral,"Auslandsaufenthalte für Studenten und Auszubildende öffnen Perspektiven, stärken den Zusammenhalt und sollen europäisch gefördert werden. Eine politische Aufladung von Stipendien sehen wir kritisch."
5,DIE LINKE,DIE LINKE,30,Erasmus+ Stipendium,"Das Erasmus+ Stipendium für Auslandsaufenthalte soll für Studierende, die über weniger finanzielle Mittel verfügen, höher sein.",stimme zu,Die Linke hat sich im Europäischen Parlament besonders stark gemacht für mehr Zugang für sozial Benachteiligte und mehr Programmangebote auch für Lehrende. Das werden wir fortführen.
6,FDP,Freie Demokratische Partei,30,Erasmus+ Stipendium,"Das Erasmus+ Stipendium für Auslandsaufenthalte soll für Studierende, die über weniger finanzielle Mittel verfügen, höher sein.",stimme zu,"Erasmus+ ist eine Erfolgsgeschichte. Es hat Millionen jungen Menschen Auslandserfahrungen in Europa ermöglicht. Darauf wollen wir aufbauen, indem wir Erasmus+ stärken und den Zugang für Lehrkräfte, Schülerschaft sowie Azubis verbessern. Unser Ziel ist, dass alle Schülerinnen und Schüler unabhängig vom Einkommen der Eltern sechs Monate ihrer Schulzeit im europäischen Ausland verbringen können. Im Sinne der Bildungschancengleichheit darf dies auch für Studierende kein Hindernis sein."
7,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",30,Erasmus+ Stipendium,"Das Erasmus+ Stipendium für Auslandsaufenthalte soll für Studierende, die über weniger finanzielle Mittel verfügen, höher sein.",stimme zu,"In Zeiten in denen Döner inzwischen über 6 € kostet, halten wir das das für richtig und wichtig! (Dönerpreisbremse! Bierpreisbremse!)"
8,FREIE WÄHLER,FREIE WÄHLER,30,Erasmus+ Stipendium,"Das Erasmus+ Stipendium für Auslandsaufenthalte soll für Studierende, die über weniger finanzielle Mittel verfügen, höher sein.",stimme zu,Das europäische Förderprogramm Erasmus+ für allgemeine und berufliche Bildung sowie Jugend und Sport ist ein wirkungsvolles Instrument für die interkulturelle Bildung und den europäischen Jugendaustausch. Die Nachfrage ist aber höher als das zur Verfügung stehende Angebot und die bürokratischen Hürden sind zu hoch. Wir wollen das Programm deshalb finanziell besser ausstatten und strukturell vereinfachen.
9,Tierschutzpartei,PARTEI MENSCH UMWELT TIERSCHUTZ,30,Erasmus+ Stipendium,"Das Erasmus+ Stipendium für Auslandsaufenthalte soll für Studierende, die über weniger finanzielle Mittel verfügen, höher sein.",stimme zu,"Wir befürworten eine Erhöhung des Erasmus+ Stipendiums für Studierende mit geringeren finanziellen Mitteln, um Bildungschancen anzugleichen und die Teilhabe an internationalen Austauschprogrammen zu fördern."
10,ÖDP,Ökologisch-Demokratische Partei - Die Naturschutzpartei,30,Erasmus+ Stipendium,"Das Erasmus+ Stipendium für Auslandsaufenthalte soll für Studierende, die über weniger finanzielle Mittel verfügen, höher sein.",stimme zu,"Chancengleichheit soll für alle in Europa gewährleistet sein. Das durch die EU finanzierte Studenten- und Azubi-Austauschprogramm ERASMUS+ soll stärker gefördert werden, denn es trägt u.a. zur allgemeinen Völkerverständigung und zur persönlichen Entwicklung bei. Damit können Studierende, die über weniger finanzielle Mittel verfügen, besser gefördert werden. Darüber hinaus sind Mittel in Bildungs- und Wissenschaftsprogramme für junge Menschen grundsätzlich sinnvoll."
11,FAMILIE,Familien-Partei Deutschlands,30,Erasmus+ Stipendium,"Das Erasmus+ Stipendium für Auslandsaufenthalte soll für Studierende, die über weniger finanzielle Mittel verfügen, höher sein.",stimme zu,"Jedem Menschen sollte das Erasmus+ Programm zur Verfügung stehen, unabhängig seiner finanziellen Möglichkeiten und sozialer Herkunft. Als Familien-Partei sind wir grundsätzlich für Chancengleichheit in der Bildung und Ausbildung."
12,Volt,Volt Deutschland,30,Erasmus+ Stipendium,"Das Erasmus+ Stipendium für Auslandsaufenthalte soll für Studierende, die über weniger finanzielle Mittel verfügen, höher sein.",stimme zu,"Volt findet, dass Reisen ins Ausland und das Kennenlernen anderer Kulturen sehr wichtig für junge Menschen sind, unter anderem um ihre Persönlichkeit zu entwickeln. Jede*r sollte die Chance dazu haben, egal wie viel Geld dieser Mensch hat. Deshalb sollten die Stipendien vom Erasmus+ Programm so angepasst werden, dass auch Studierende und Auszubildende, die nicht so viel Geld haben, ins Ausland gehen können."
13,PIRATEN,Piratenpartei Deutschland,30,Erasmus+ Stipendium,"Das Erasmus+ Stipendium für Auslandsaufenthalte soll für Studierende, die über weniger finanzielle Mittel verfügen, höher sein.",stimme zu,"Die Teilhabe in Würde und Freiheit von allen Erasmusstudierenden ist zu gewährleisten. Durch diese Maßnahmen können alle jungen Menschen unterstützt werden, Gleichaltrige aus verschiedenen europäischen Ländern kennenzulernen und interkulturelle Kompetenzen zu entwickeln."
14,MERA25,MERA25 - Gemeinsam für Europäische Unabhängigkeit,30,Erasmus+ Stipendium,"Das Erasmus+ Stipendium für Auslandsaufenthalte soll für Studierende, die über weniger finanzielle Mittel verfügen, höher sein.",stimme zu,"Studierende mit geringeren finanziellen Möglichkeiten sollten über Stipendien angemessen gefördert werden, um auch ihnen im Laufe ihres Studiums einen Auslandsaufenthalt zu ermöglichen."
